state	National	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	Puerto Rico
Base: All Respondents	83054762	1193757	192109	1750958	745905	10551711	1394890	932279	232558	164694	4682150	2766817	333842	445695	3384628	1717877	810892	789812	1085773	1176907	296853	1564161	1748398	2562133	1400964	802804	1529503	236199	508455	689934	316403	2267652	557777	4926760	2533803	181491	2922228	999903	960816	3031943	266870	1202103	217046	1584716	7488362	951611	149328	2155541	1724293	405213	1462332	149521	906392
in preschool	5013351	66351	10530	83785	49796	593758	86731	58925	14391	14508	286458	179511	21647	21504	231735	99926	55549	50700	62448	82158	16087	98470	111126	142614	93162	49254	94174	13274	33111	31235	18156	170364	29016	302328	142098	11061	178053	67157	55579	185764	14208	64441	13987	89163	457909	59841	8741	127495	103191	22238	76635	9480	53528
in kindergarten	4221320	61563	10194	89375	41150	521601	71122	42006	11804	7433	229205	144087	17210	23643	164970	85517	43057	41435	57096	62450	14400	77947	78297	123329	71879	46835	79077	13644	26471	37383	14685	113860	28943	237302	130128	10189	143674	56800	48535	143093	10927	72787	12116	80941	414700	51913	6591	106524	89591	20496	86034	7755	39556
in grade 1 to grade 4	16511632	244929	40478	364599	157282	1989541	282927	169891	44120	24130	903981	560977	64367	96956	663190	358613	161092	159328	224910	255723	57683	292780	301022	486199	284386	167958	309767	50646	103166	150053	58833	440693	115132	924161	509457	36480	581091	217727	190728	591923	45112	244837	46957	329430	1632917	204305	26602	416704	351923	84347	290452	32001	169126
in grade 5 to grade 8	16675078	252167	40426	362857	152906	2033456	280541	184099	45662	19366	918984	572667	66178	97267	680844	355958	162256	159363	230607	249986	58700	292987	319730	511589	283845	166040	314428	48834	102921	147560	62423	457550	111549	932783	515687	33096	598638	208531	188777	608132	49074	242236	43364	335822	1589151	196741	27318	415000	351641	85121	293413	30973	185834
in high school 	17176546	254491	41296	371213	155003	2196122	276496	201320	47395	24411	959728	572894	64985	94610	703720	360092	159813	161415	226312	239185	65041	311720	343004	543029	292619	163174	312070	48194	101656	154118	67875	482369	114784	1005920	524092	32976	620393	200593	195439	635645	51551	248431	44519	338312	1548893	191989	31499	425272	361369	84568	305085	29086	190760
in college, undergraduate	19291233	263603	38467	399557	162250	2705216	319001	221225	55424	48492	1153444	608224	81523	95726	744642	385269	191763	177618	236507	239586	70704	375496	455766	628804	309837	178925	339983	51908	113658	140887	76339	483479	131237	1212687	594123	49691	657827	209843	235222	700536	80254	274471	46411	338590	1538439	212762	40801	524307	387707	89679	348754	33450	231119
in graduate school	4165602	50653	10718	79572	27518	512017	78072	54813	13762	26354	230350	128457	17932	15989	195527	72502	37362	39953	47893	47819	14238	114761	139453	126569	65236	30618	80004	9699	27472	28698	18092	119337	27116	311579	118218	7998	142552	39252	46536	166850	15744	54900	9692	72458	306353	34060	7776	140239	78871	18764	61959	6776	36469
